pivot_ID	Item_Name	Location	in_evidence	in_evidence_description	storytelling_path	storytelling_path_description	Type	Event_description	Dispute	Note	Date	Year	Alpinist	Guide	Nationality	Expedition_members	Fonti_primarie	Fonti_secondarie	source
item_104	Prima ascensione: Monte Bianco 	Monte Bianco	FALSE				First absolute ascent				8 agosto1786	1786	Jacques Balmat, Michel Gabriel Paccard			Jacques Balmat, Michel Gabriel Paccard			Wikipedia
item_105	Prima ascensione: Monte Breithorn 	Monte Breithorn	FALSE				First absolute ascent				13 Aug 1813	1813	Henry Maynard, Jean-Marie Couttet, Jean Gras, Jean-Baptiste Érin, Jean-Jacques Érin		Switzerland	Henry Maynard, Jean-Marie Couttet, Jean Gras, Jean-Baptiste Érin, Jean-Jacques Érin		Studer, Vol 2, pp. 301-3	Wikipedia, Wikipedia Table
item_106	Prima ascensione: Monte Calisio 	Monte Calisio	FALSE		Prime Ascensioni sulle Dolomiti		First absolute ascent				I secolo a.C.								Wikipedia
item_107	Prima ascensione: Monte Cristallo 	Monte Cristallo	FALSE		Silver age of alpinism, Prime Ascensioni sulle Dolomiti		First absolute ascent				14 settembre1865	1865	Paul Grohmann, Angelo Dimai, Santo Siorpaes			Paul Grohmann, Angelo Dimai, Santo Siorpaes			Wikipedia
item_108	Prima ascensione: Monte Dolent 	Monte Dolent	FALSE		Golden age of alpinism		First absolute ascent				9 luglio 1864	1864	Anthony Adams Reilly, Edward Whymper	Michel Croz, Henri Charlet, Michel-Clément Payot		Anthony Adams Reilly, Edward Whymper, Michel Croz, Henri Charlet, Michel-Clément Payot			Wikipedia
item_109	Prima ascensione: Monte Emilius 	Monte Emilius	FALSE				First absolute ascent				1826	1826	Georges Carrel			Georges Carrel			Wikipedia
item_110	Prima ascensione: Monte Gleno 	Monte Gleno	FALSE		Silver age of alpinism		First absolute ascent				1873	1873	Douglas William Freshfield, François Devouassoud			Douglas William Freshfield, François Devouassoud		Angelo Gamba, Antonio Baroni, la guida alpina, Comune di San Pellegrino Terme, 2002, p. 5.	Wikipedia
item_111	Prima ascensione: Monte Lovello 	Monte Lovello	FALSE				First absolute ascent				12 settembre1843	1843	Markus Vincent Lipold			Markus Vincent Lipold			Wikipedia
item_112	Prima ascensione: Monte Matto 	Monte Matto	FALSE		Silver age of alpinism		First absolute ascent				14 agosto1879	1879	William Auguste Coolidge, Christian Almer, Ulrich Almer			William Auguste Coolidge, Christian Almer, Ulrich Almer			Wikipedia
item_113	Prima ascensione: Monte Serva 	Monte Serva	FALSE		Prime Ascensioni sulle Dolomiti		First absolute ascent				17 settembre1878	1878							Wikipedia
item_114	Prima ascensione: Monte Turia 	Monte Turia	FALSE		Silver age of alpinism		First absolute ascent				2 luglio1874	1874	William Coolidge, Meta Brevoort, Christian Almer			William Coolidge, Meta Brevoort, Christian Almer			Wikipedia
item_115	Prima ascensione: Monte Vélan 	Monte Vélan	FALSE				First absolute ascent				31 agosto 1779	1779	Laurent Joseph Murith and two hunters from Liddes		Switzerland	Laurent Joseph Murith and two hunters from Liddes		Studer, Vol 2, pp. 467-8	Wikipedia Table
item_116	Prima ascensione: Monte Vioz 	Monte Vioz	FALSE		Silver age of alpinism		First absolute ascent				1867	1867	Julius von Payer, Antonio Chiesa, Johann Pinggera			Julius von Payer, Antonio Chiesa, Johann Pinggera			Wikipedia
item_117	Prima ascensione: Monte Zebrù 	Monte Zebrù	FALSE		Silver age of alpinism		First absolute ascent				29 settembre 1866	1866	Julius von Payer	Johann Pinggera		Julius von Payer, Johann Pinggera			Wikipedia
item_118	Prima ascensione: Pala di San Martino 	Pala di San Martino	FALSE		Prime Ascensioni sulle Dolomiti		First absolute ascent				23 giugno 1878	1878	Julius Meurer, Alfredo Pallavicini, Michele Bettega, Arcangelo Dimai, Santo Siorpaes			Julius Meurer, Alfredo Pallavicini, Michele Bettega, Arcangelo Dimai, Santo Siorpaes			Wikipedia
item_119	Prima ascensione: Palon de la Mare 	Palon de la Mare	FALSE		Silver age of alpinism		First absolute ascent				10 settembre1867	1867	Julius von Payer	guida Johann Pinggera, portatore Antonio Chiesa		Julius von Payer, guida Johann Pinggera, portatore Antonio Chiesa			Wikipedia
item_120	Prima ascensione documentata: Pelmo Pelmo()	Pelmo	FALSE		Golden Age of alpinism, Prime Ascensioni sulle Dolomiti		Prima ascensione documentata	L'ascensione del Pelmo da parte di John Ball nel 1856 rappresenta un momento fondamentale per l'alpinismo dolomitico. Ball, sposatosi con Elisa Parolini a Bassano del Grappa, partì il 9 settembre accompagnato da una guida locale per quella che credeva essere la montagna più alta del bellunese. L'ascesa si caratterizzò per un percorso difficile da individuare e per il celebre "Passo del gatto", così denominato da Ball per la necessità di strisciare sdraiati per superarlo. Dopo aver attraversato un canalone con rocce friabili, Ball raggiunse la vetta da solo, lasciato dalla guida.	Settled dispute	The Irishman Ball was guided by an anonymous local (Venetian) chamois hunter up to the summit ridge, about 30 m below the summit.	19 settembre 1857	1857	John Ball		English	John Ball	Alpine Journal del 1873 (resoconto di Ball)	Erschliessung, 3, pp. 475-6	Wikipedia, Wikidata Table, https://www.sat.tn.it/dolomiti-in-biblioteca-2-le-prime-ascensioni/
item_120	Prima ascensione presunta: Pelmo 	Pelmo	FALSE				First absolute ascent	Sebbene la salita di Ball al Pelmo sia considerata l'inizio dell'alpinismo dolomitico, non fu la prima ascensione assoluta del Pelmo. L'evidenza si trova nel libro "Die Venetianer Alpen" (1844) dell'ingegnere Fuchs, che riportava l'altitudine della montagna senza la sigla "TR" utilizzata per le cime inviolate, suggerendo che qualcuno aveva già fornito informazioni precise sull'altezza, indicando una precedente ascensione da parte di abitanti locali.			prima del 1844	1844	Abitanti locali sconosciuti 			Abitanti locali sconosciuti 	"Die Venetianer Alpen" di Fuchs (1844)		https://www.sat.tn.it/dolomiti-in-biblioteca-2-le-prime-ascensioni/
item_121	Prima ascensione: Pic Coolidge 	Pic Coolidge	FALSE		Silver age of alpinism		First absolute ascent				14 luglio1877	1877	William Auguste Coolidge, Christian Almer, Ulrich Almer			William Auguste Coolidge, Christian Almer, Ulrich Almer			Wikipedia
item_122	Prima ascensione: Pic d'Olan 	Pic d'Olan	FALSE		Silver age of alpinism		First absolute ascent				1880	1880							Wikipedia
item_123	Prima ascensione: Pic Tyndall 	Pic Tyndall	FALSE		Golden age of alpinism		First absolute ascent				1862	1862	John Tyndall, Jean-Antoine Carrel	due guide		John Tyndall, Jean-Antoine Carrel, due guide			Wikipedia
item_124	Prima ascensione: Piz Boè 	Piz Boè	FALSE		Golden Age of alpinism, Prime Ascensioni sulle Dolomiti		First absolute ascent				30 luglio1864	1864	Paul Grohmann			Paul Grohmann		Fabio Favaretto e Andrea Zannini, Gruppo di Sella, Guida dei Monti d'Italia, Milano, Club Alpino Italiano e Touring Club Italiano, 1991.	Wikipedia
item_125	Prima ascensione: Pizzo Cengalo 	Pizzo Cengalo	FALSE		Silver age of alpinism		First absolute ascent				25 luglio 1866	1866	Douglas William Freshfield, Charles Comyns Tucker	François Devouassoud		Douglas William Freshfield, Charles Comyns Tucker, François Devouassoud			Wikipedia
item_126	Prima ascensione: Pizzo Rotondo (Cantone Ticino) 	Pizzo Rotondo (Cantone Ticino)	FALSE				First absolute ascent				1888	1888	William Auguste Coolidge, Christian Almer			William Auguste Coolidge, Christian Almer			Wikipedia
item_127	Prima ascensione: Pizzo Tresero 	Pizzo Tresero	FALSE		Silver age of alpinism		First absolute ascent				28 giugno 1865	1865	Francis Fox Tuckett, Douglas William Freshfield, James Backhouse, George Henry Fox, François Devouassoud, Peter Michel			Francis Fox Tuckett, Douglas William Freshfield, James Backhouse, George Henry Fox, François Devouassoud, Peter Michel			Wikipedia
item_128	Prima ascensione: Pointe Haute de Mary 	Pointe Haute de Mary	FALSE		Silver age of alpinism		First absolute ascent				luglio1879	1879	William Auguste Coolidge, Christin Almer, Ulrich Almer			William Auguste Coolidge, Christin Almer, Ulrich Almer			Wikipedia
item_129	Prima ascensione: Punta dei Tre Scarperi 	Punta dei Tre Scarperi	FALSE		Silver age of alpinism, Prime Ascensioni sulle Dolomiti		First absolute ascent				18 luglio1869	1869	Paul Grohmann, Peter Salcher, Franz Innerkofler			Paul Grohmann, Peter Salcher, Franz Innerkofler			Wikipedia
item_130	Prima ascensione: Punta Gastaldi 	Punta Gastaldi	FALSE				First absolute ascent				16 agosto1884	1884	William Auguste Coolidge, Ulrich Almer 			William Auguste Coolidge, Ulrich Almer 			Wikipedia
item_131	Prima ascensione: Punta Gelas di Lourousa 	Punta Gelas di Lourousa	FALSE		Silver age of alpinism		First absolute ascent				18 agosto1879	1879	William Auguste Coolidge, Christian Almer, Ulrich Almer			William Auguste Coolidge, Christian Almer, Ulrich Almer			Wikipedia
item_132	Prima ascensione: Punta Grohmann 	Punta Grohmann	FALSE		Silver age of alpinism, Prime Ascensioni sulle Dolomiti		First absolute ascent				1880	1880	Michel Innerkofler			Michel Innerkofler			Wikipedia
item_133	Prima ascensione: Punta Penia 	Punta Penia	FALSE		Golden age of alpinism		First absolute ascent		Concurrent Hypotesis		28 September 1864	1864	Paul Grohmann, Angelo Dimai, Fulgenzio Dimai		Austria, Italy	Paul Grohmann, Angelo Dimai, Fulgenzio Dimai			Wikipedia (EN), Wikipedia (DE), Wikipedia (IT), Wikipedia Table
item_134	Prima ascensione: Punta Penia 	Punta Penia	FALSE		Golden age of alpinism		First absolute ascent		Concurrent Hypotesis		28 September 1864	1864	Paul Grohmann, Pellegrino Pellegrini, Angelo Dimai, Fulgenzio Dimai		Austria, Italy	Paul Grohmann, Pellegrino Pellegrini, Angelo Dimai, Fulgenzio Dimai			Wikipedia (FR)
item_135	Prima ascensione: Punta San Matteo 	Punta San Matteo	FALSE		Silver age of alpinism		First absolute ascent				28 giugno 1865	1865	James Backhouse, George Henry Fox, Douglas William Freshfield, Francis Fox Tuckett	François Devouassoud, Peter Michel		James Backhouse, George Henry Fox, Douglas William Freshfield, Francis Fox Tuckett, François Devouassoud, Peter Michel			Wikipedia
item_136	Prima ascensione: Punta Sommeiller 	Punta Sommeiller	FALSE		Silver age of alpinism		First absolute ascent				documentata:1871	1871	Martino Baretti			Martino Baretti		Roberto Aruga, Pietro Losana e Alberto Re, Alpi Cozie Settentrionali, Guida dei Monti d'Italia, Milano, Club Alpino Italiano e Touring Club Italiano, 1985.	Wikipedia
item_137	Prima ascensione: Roche de la Muzelle 	Roche de la Muzelle	FALSE		Silver age of alpinism		First absolute ascent				2 luglio1875	1875	William Auguste Coolidge, Christian Almer, Ulrich Almer			William Auguste Coolidge, Christian Almer, Ulrich Almer			Wikipedia
item_138	Prima ascensione: Sass de Stria 	Sass de Stria	FALSE		Prime Ascensioni sulle Dolomiti		First absolute ascent				12 agosto 1899	1899	Giovanni Siorpaes			Giovanni Siorpaes			Wikipedia
item_139	Prima ascensione: Sasso Bianco 	Sasso Bianco	FALSE		Prime Ascensioni sulle Dolomiti		First absolute ascent				19º novembre2005	2005							Wikipedia
item_140	Prima ascensione: Sasso di Bosconero 	Sasso di Bosconero	FALSE		Prime Ascensioni sulle Dolomiti		First absolute ascent				19 settembre 1878	1878	Santo Siorpaes, Cesare Tomè, Gottfried Merzbacher			Santo Siorpaes, Cesare Tomè, Gottfried Merzbacher			Wikipedia
item_141	Prima ascensione: Sasso Pordoi 	Sasso Pordoi	FALSE		Prime Ascensioni sulle Dolomiti		First absolute ascent				XIX secolo							Fabio Favaretto e Andrea Zannini, Gruppo di Sella, Guida dei Monti d'Italia, Milano, Club Alpino Italiano e Touring Club Italiano, 1991.	Wikipedia
item_142	Prima ascensione: Sasso Vernale 	Sasso Vernale	FALSE		Prime Ascensioni sulle Dolomiti		First absolute ascent				12 luglio 1878	1878	Santo Siorpaes, Cesare Tomè, Gottfried Merzbacher, Giorgio Bernard			Santo Siorpaes, Cesare Tomè, Gottfried Merzbacher, Giorgio Bernard			Wikipedia
item_143	Prima ascensione: Sassolungo 	Sassolungo	FALSE		Silver age of alpinism, Prime Ascensioni sulle Dolomiti		First absolute ascent				13 agosto1869	1869	Paul Grohmann, Franz Innerkofler, Peter Salcher			Paul Grohmann, Franz Innerkofler, Peter Salcher			Wikipedia
item_144	Prima ascensione: Schiara 	Schiara	FALSE		Prime Ascensioni sulle Dolomiti		First absolute ascent				17 settembre1878	1878	Gottfried Merzbacher	Cesare Tomè, Santo Siorpaes		Gottfried Merzbacher, Cesare Tomè, Santo Siorpaes			Wikipedia
item_145	Prima ascensione: Strahlhorn 	Strahlhorn	FALSE		Golden age of alpinism		First absolute ascent				15 agosto 1854	1854							Wikipedia
item_146	Prima ascensione: Testa della Tribolazione 	Testa della Tribolazione	FALSE				First absolute ascent				11 agosto 1885	1885	William Auguste Coolidge, George Yeld	Christian Almer, Séraphin Henry, Joseph-Antoine Jeantet		William Auguste Coolidge, George Yeld, Christian Almer, Séraphin Henry, Joseph-Antoine Jeantet		[1]	Wikipedia
item_147	Prima ascensione: Titlis 	Titlis	FALSE				First absolute ascent		Conflicting Hypothesis		25 Jul 1744	1744	Ignaz Herz, Josef Eugen Waser and 2 others		Switzerland	Ignaz Herz, Josef Eugen Waser and 2 others			Wikipedia
item_148	Prima ascensione: Titlis 	Titlis	FALSE				First absolute ascent		Conflicting Hypothesis		1739	1739							Wikipedia
item_149	Prima ascensione: Torre di Castelfranco 	Torre di Castelfranco	FALSE		Golden age of alpinism		First absolute ascent				1861	1861	Francis Fox Tuckett, John Tyndall			Francis Fox Tuckett, John Tyndall			Wikipedia
item_150	Prima ascensione: Tour Ronde 	Tour Ronde	FALSE		Silver age of alpinism		First absolute ascent				22 luglio1867	1867	James Backhouse, T.H. Carson, Douglas William Freshfield, Charles Comyns Tucker, Daniel Balleys, Michel-Clément Payot			James Backhouse, T.H. Carson, Douglas William Freshfield, Charles Comyns Tucker, Daniel Balleys, Michel-Clément Payot			Wikipedia
item_151	Prima ascensione: Cima Grande (Tre Cime di Lavaredo) 	Cima Grande (Tre Cime di Lavaredo)	FALSE		Silver age of alpinism, Prime Ascensioni sulle Dolomiti		First absolute ascent		Undisputed		21 agosto 1869	1869	Paul Grohmann	Franz Innerkofler, Peter Salcher	Austria-Hungary	Paul Grohmann, Franz Innerkofler, Peter Salcher			Wikipedia, Wikipedia Table
item_152	Prima ascensione: Trettachspitze 	Trettachspitze	FALSE		Golden age of alpinism		First absolute ascent				1855	1855							Wikipedia
item_153	Prima ascensione: Uia di Bessanese 	Uia di Bessanese	FALSE		Golden age of alpinism		First absolute ascent				31 agosto1857	1857	Antonio Tonini			Antonio Tonini		Giulio Berutto e Lino Fornelli, Alpi Graie Meridionali, Guida dei Monti d'Italia, Milano, Club Alpino Italiano e Touring Club Italiano, 1980, ISBN 978-88-365-0077-2.	Wikipedia
item_154	Prima ascensione: Vezzana 	Vezzana	FALSE		Prime Ascensioni sulle Dolomiti		First absolute ascent				23 giugno1878	1878	Douglas William Freshfield, Charles Comyns Tucker			Douglas William Freshfield, Charles Comyns Tucker			Wikipedia
item_155	Prima ascensione: Watzmann 	Watzmann	FALSE				First absolute ascent				agosto1800	1800	Valentin Stanič			Valentin Stanič			Wikipedia, Wikipedia Table
item_156	Prima ascensione: Weisshorn 	Weisshorn	FALSE		Golden age of alpinism		First absolute ascent				19 agosto 1861	1861	John Tyndall	Johann Joseph Bennen, Ulrich Wenger	Switzerland, England	John Tyndall, Johann Joseph Bennen, Ulrich Wenger		Peter Zimmermann, Valentin Stanič – Bergsteiger, Schriftsteller, Wohltäter. Eigenverlag der Bayerisch-Slowenischen Gesellschaft, Regensburg 2000.  Studer, Vol 2, pp. 145-6	Wikipedia, Wikipedia Table
item_157	Prima ascensione: Wildspitze 	Wildspitze	FALSE				First absolute ascent				Aug 1848	1848	Leander Klotz, fellow local farmer		Austria	Leander Klotz, fellow local farmer		Erschliessung 2, 251-7	Wikipedia
item_158	Prima ascensione: Zugspitze 	Zugspitze	FALSE				First absolute ascent				27 agosto1820	1820	Josef Naus, Maier Tauschl, Johann Georg Tauschl		Austria-Hungary, Kingdom of Bavaria	Josef Naus, Maier Tauschl, Johann Georg Tauschl		Erschliessung 1,121-2. Local people had climbed Zugspitze over 50 years earlier, according to a 1770 map discovered by the Alpenverein	Wikipedia, Wikipedia Table
item_159	Prima ascensione: Aiguille de la Grande Sassière 	Aiguille de la Grande Sassière	FALSE				First absolute ascent		Conflicting Hypothesis	ca. 1808	1808	1808	Bertrand Chaudan, others from Tignes		France	Bertrand Chaudan, others from Tignes		W.A.B. Coolidge, The Alps in nature and history, E.P. Dutton publishers, New York, 1908, p. 398	Wikipedia Table
item_160	Prima ascensione: Aiguille de la Grande Sassière 	Aiguille de la Grande Sassière	FALSE		Golden age of alpinism		First absolute ascent		Conflicting Hypothesis		5 agosto 1860	1860	William Mathews, Michel Croz			William Mathews, Michel Croz		Alessandro Giorgetta, Alpi Graie Centrali, Guida dei Monti d'Italia, Milano, Club Alpino Italiano e Touring Club Italiano, 1985.	Wikipedia
item_161	Prima ascensione: Aiguille de Leschaux 	Aiguille de Leschaux	FALSE		Silver age of alpinism		First absolute ascent				14 luglio 1872	1872	James Aubrey-Garth-Marshall, Thomas Stuard Kennedy	Johann Fischer, Julien Grange		James Aubrey-Garth-Marshall, Thomas Stuard Kennedy, Johann Fischer, Julien Grange			Wikipedia
item_162	Prima ascensione: Albaron di Sea 	Albaron di Sea	FALSE				First absolute ascent				19 luglio 1886	1886	Giuseppe Corrà	Michele Ricchiardi		Giuseppe Corrà, Michele Ricchiardi			Wikipedia
item_163	Prima ascensione: Castore (monte) 	Castore (monte)	FALSE		Golden age of alpinism		First absolute ascent				23 agosto 1861	1861	Frederick William Jacomb, William Mathews	Michel Croz		Frederick William Jacomb, William Mathews, Michel Croz			Wikipedia
item_164	Prima ascensione: Cima Leitosa 	Cima Leitosa	FALSE				First absolute ascent				13 luglio 1886	1886	Giuseppe Corrà, Michele Ricchiardi			Giuseppe Corrà, Michele Ricchiardi			Wikipedia
item_165	Prima ascensione: Cima Tosa 	Cima Tosa	FALSE		Silver age of alpinism		First absolute ascent				20 luglio 1865	1865	Giuseppe Loss	con 6 compagni		Giuseppe Loss, con 6 compagni			Wikipedia
item_166	Prima ascensione: Dent Blanche 	Dent Blanche	FALSE		Golden age of alpinism		First absolute ascent				18 luglio 1862	1862	Jean-Baptiste Croz, Johann Kronig, William Wigram, Thomas Stuart Kennedy		France, Switzerland, England	Jean-Baptiste Croz, Johann Kronig, William Wigram, Thomas Stuart Kennedy		T. S. Kennedy, Ascent of the Dent Blanche, in The alpine journal, Alpine Club, Londra, 1864; pagg. 33-39  Studer, Vol 2, pp. 190-1	Wikipedia
item_167	Prima ascensione: Dobratsch 	Dobratsch	FALSE				First absolute ascent				1794	1794	Franz von Hohenwart			Franz von Hohenwart			Wikipedia
item_168	Prima ascensione: Furchetta 	Furchetta	FALSE		Silver age of alpinism, Prime Ascensioni sulle Dolomiti		First absolute ascent				1880	1880	Johann Santner			Johann Santner			Wikipedia
item_169	Prima ascensione: Grand Pilier d'Angle 	Grand Pilier d'Angle	FALSE				First absolute ascent				3 agosto1957	1957	Walter Bonatti			Walter Bonatti			Wikipedia
item_170	Prima ascensione: Grande Tête de By 	Grande Tête de By	FALSE				First absolute ascent				7 luglio 1894	1894	Max Rosenmund			Max Rosenmund			Wikipedia
item_171	Prima ascensione: Grosse Sandspitze 	Grosse Sandspitze	FALSE		Silver age of alpinism		First absolute ascent				2 luglio1866	1866	Franz Mitterhofer			Franz Mitterhofer			Wikipedia
item_172	Prima ascensione: Hochstuhl 	Hochstuhl	FALSE				First absolute ascent				1794	1794	Franz von Hohenwart		France, England	Franz von Hohenwart		William Mathews, Ascent of Monte Visto, Peaks, Passes, and Glaciers, Volume 2, pp 148-177, London: Longman, Green, Longman, and Roberts, 1862	Wikipedia, Wikipedia Table
item_173	Prima ascensione: Monte Gelé 	Monte Gelé	FALSE		Golden age of alpinism		First absolute ascent				11 agosto1861	1861	Frederick William Jacomb, Jean-Baptiste Croze, Michel Croz			Frederick William Jacomb, Jean-Baptiste Croze, Michel Croz		Gino Buscaini, Alpi Pennine, vol. I, Guida dei Monti d'Italia, Milano, Club Alpino Italiano e Touring Club Italiano, 1971.	Wikipedia
item_174	Prima ascensione: Monviso 	Monviso	FALSE		Golden age of alpinism		First absolute ascent				30 agosto1861	1861	William Mathews, Frederick William Jacomb, Jean-Baptiste Croz, Michel Croz			William Mathews, Frederick William Jacomb, Jean-Baptiste Croz, Michel Croz			Wikipedia
item_175	Prima ascensione: Punta Santner 	Punta Santner	FALSE		Silver age of alpinism, Prime Ascensioni sulle Dolomiti		First absolute ascent				7 luglio 1880	1880	Johann Santner			Johann Santner			Wikipedia
item_176	Prima ascensione: Punta Thurwieser 	Punta Thurwieser	FALSE		Silver age of alpinism		First absolute ascent				1869	1869	Theodor Harpprecht, Joseph Schnell			Theodor Harpprecht, Joseph Schnell			Wikipedia
item_177	Prima ascensione: Rocca la Meja 	Rocca la Meja	FALSE				First absolute ascent				17 settembre1895	1895	Giovanni Bobba			Giovanni Bobba			Wikipedia
item_178	Prima ascensione: Rocca Pagana 	Rocca Pagana	FALSE				First absolute ascent				estate 1958 sulla Guglia ovest	vest	Italo Salvi, Nella Depretto			Italo Salvi, Nella Depretto			Wikipedia
item_179	Prima ascensione: Rocciamelone 	Rocciamelone	FALSE				First absolute ascent				1 settembre1358	1358	Bonifacio Rotario D'Asti		Italy	Bonifacio Rotario D'Asti			Wikipedia
item_180	Prima ascensione: Balmhorn 	Balmhorn	FALSE		Golden age of alpinism		First absolute ascent				21 luglio 1864	1864	Frank Walker, Horace Walker, Lucy Walker	Jakob Anderegg, Melchior Anderegg		Frank Walker, Horace Walker, Lucy Walker, Jakob Anderegg, Melchior Anderegg			Wikipedia
item_181	Prima ascensione: Barre des Écrins 	Barre des Écrins	FALSE		Golden age of alpinism		First absolute ascent				1864	1864	Adolphus Warburton Moore, Horace Walker, Edward Whymper	Michel Croz, Christian Almer	France, Switzerland, England	Adolphus Warburton Moore, Horace Walker, Edward Whymper, Michel Croz, Christian Almer			Wikipedia, Wikipedia Table
item_182	Prima ascensione: Cima d'Asta 	Cima d'Asta	FALSE		Prime Ascensioni sulle Dolomiti		First absolute ascent				1906	1906	Pompeo Tomaselli			Pompeo Tomaselli			Wikipedia
item_183	Prima ascensione: Cima di Valeille 	Cima di Valeille	FALSE				First absolute ascent				14 settembre1893	1893	Giovanni Bobba	Casimire Thérisod		Giovanni Bobba, Casimire Thérisod			Wikipedia
item_184	Prima ascensione: Obergabelhorn 	Obergabelhorn	FALSE		Silver age of alpinism		First absolute ascent				6 luglio 1865	1865	Adolphus Warburton Moore, Horace Walker, Jakob Anderegg		Switzerland, England	Adolphus Warburton Moore, Horace Walker, Jakob Anderegg		Studer, Vol 2, pp. 322-3	Wikipedia, Wikipedia Table
item_185	Prima ascensione: Pigne d'Arolla 	Pigne d'Arolla	FALSE		Silver age of alpinism		First absolute ascent				9 luglio 1865	1865	Adolphus Warburton Moore, Horace Walker, Jakob Anderegg			Adolphus Warburton Moore, Horace Walker, Jakob Anderegg			Wikipedia
item_186	Prima ascensione: Pilatus 	Pilatus	FALSE				First absolute ascent		Conflicting Hypothesis		1387	1387	Six clerics		Switzerland, England	Six clerics			Wikipedia Table
item_187	Prima ascensione: Pilatus 	Pilatus	FALSE				First absolute ascent		Conflicting Hypothesis		1518	1518	Joachim Vadiano			Joachim Vadiano			Wikipedia
item_188	Prima ascensione: Piz Roseg 	Piz Roseg	FALSE		Silver age of alpinism		First absolute ascent				28 giugno 1865	1865	Adolphus Warburton Moore, Horace Walker	Jakob Anderegg	Switzerland, England	Adolphus Warburton Moore, Horace Walker, Jakob Anderegg		Silvio Saglio, Bernina, Guida dei Monti d'Italia, Milano, Club Alpino Italiano e Touring Club Italiano, 1959. Studer, Vol 3, pp. 130-3	Wikipedia, Wikipedia Table
item_189	Prima ascensione: Grummetkopf 	Grummetkopf	FALSE				First absolute ascent				5 ottobre 1913	1913	Hans Reinl, Anton Steinmaier, Felix Steinmaier			Hans Reinl, Anton Steinmaier, Felix Steinmaier			Wikipedia
item_190	Prima ascensione: Monte Lera (Valle di Viù) 	Monte Lera (Valle di Viù)	FALSE		Silver age of alpinism		First absolute ascent				15 settembre1873	1873	Martino Baretti	Giuseppe Cibrario		Martino Baretti, Giuseppe Cibrario			Wikipedia
item_191	Prima ascensione: Monveso di Forzo 	Monveso di Forzo	FALSE		Silver age of alpinism		First absolute ascent				7 agosto1867	1867	Martino Baretti	Giulio Rastoldo, detto Egidio		Martino Baretti, Giulio Rastoldo, detto Egidio		[1]	Wikipedia
item_192	Prima ascensione: Ortles 	Ortles	FALSE				First absolute ascent				27/09/1804	1804	Joseph Pichler			Joseph Pichler			Wikipedia
item_193	Prima ascensione: Pierre Menue 	Pierre Menue	FALSE		Silver age of alpinism		First absolute ascent				3 agosto 1875	1875	Martino Baretti	Pietro Medail, Augusto Sibille		Martino Baretti, Pietro Medail, Augusto Sibille		[1]	Wikipedia
item_194	Prima ascensione: Punta Baretti 	Punta Baretti	FALSE		Silver age of alpinism		First absolute ascent				28 luglio1880	1880	Jean-Joseph Maquignaz, Martino Baretti			Jean-Joseph Maquignaz, Martino Baretti			Wikipedia
item_195	Prima ascensione: Freyaturm 	Freyaturm	FALSE				First absolute ascent				15 giugno 1913	1913	Hans Reinl, Anton Steinmaier, Felix Steinmaier			Hans Reinl, Anton Steinmaier, Felix Steinmaier			Wikipedia
item_196	Prima ascensione: Punta Fourà 	Punta Fourà	FALSE		Silver age of alpinism		First absolute ascent				1867	1867	Martino Baretti	 A. Blanchetti		Martino Baretti,  A. Blanchetti		[1]	Wikipedia
item_197	Prima ascensione: Punta Lunella 	Punta Lunella	FALSE		Silver age of alpinism		First absolute ascent				23 giugno1873	1873	Martino Baretti	Giuseppe Cibrario		Martino Baretti, Giuseppe Cibrario		[1]	Wikipedia
item_198	Prima ascensione: Aiguille du Grépon 	Aiguille du Grépon	FALSE		Silver age of alpinism		First absolute ascent			Dicono anche 3 agosto 1881	5 agosto1881	1881	Albert Frederick Mummery	Alexander Burgener, Benedikt Venetz	Switzerland, English	Albert Frederick Mummery, Alexander Burgener, Benedikt Venetz			Wikipedia, Wikipedia Table
item_199	Prima ascensione: Allalinhorn 	Allalinhorn	FALSE		Golden age of alpinism		First absolute ascent				28 agosto 1856	1856	Franz-Josef Andenmatten, Edward Levi Ames, Member of Imseng family			Franz-Josef Andenmatten, Edward Levi Ames, Member of Imseng family			Wikipedia
item_200	Prima ascensione: Becca di Chardoney 	Becca di Chardoney	FALSE				First absolute ascent				22 agosto 1882	1882	Arthur Cust	Xaver Andermatten		Arthur Cust, Xaver Andermatten		[1]	Wikipedia
item_201	Prima ascensione: Blinnenhorn 	Blinnenhorn	FALSE		Silver age of alpinism		First absolute ascent				1881	1881	Arthur Cust			Arthur Cust			Wikipedia
item_202	Prima ascensione: Campanile Alto 	Campanile Alto	FALSE				First absolute ascent				27 luglio 1885	1885	Gottfried Merzbacher	Bonifacio Nicolussi		Gottfried Merzbacher, Bonifacio Nicolussi			Wikipedia
item_203	Prima ascensione: Dürrenhorn 	Dürrenhorn	FALSE		Silver age of alpinism		First absolute ascent				7 settembre 1879	1879	Albert Frederick Mummery, William Penhall	Alexander Burgener, Ferdinand Imseng		Albert Frederick Mummery, William Penhall, Alexander Burgener, Ferdinand Imseng			Wikipedia
item_204	Prima ascensione: Lagginhorn 	Lagginhorn	FALSE		Golden age of alpinism		First absolute ascent				26 agosto 1856	1856	Edward Levi Ames, Franz Andenmatten, Johann Josef Imseng			Edward Levi Ames, Franz Andenmatten, Johann Josef Imseng			Wikipedia
