pivot_ID	Item_Name	Location	in_evidence	in_evidence_description	storytelling_path	storytelling_path_description	Type	Dispute	Note	Date	Year	Alpinist	Guide	Nationality	Expedition_members	Reference	source
item_118	Event on Pala di San Martino 	Pala di San Martino	FALSE		Prime Ascensioni sulle Dolomiti		First absolute ascent			23 giugno 1878	1878	Julius Meurer, Alfredo Pallavicini, Michele Bettega, Arcangelo Dimai, Santo Siorpaes			Julius Meurer, Alfredo Pallavicini, Michele Bettega, Arcangelo Dimai, Santo Siorpaes		Wikipedia
item_119	Event on Palon de la Mare 	Palon de la Mare	FALSE		Silver age of alpinism		First absolute ascent			10 settembre1867	1867	Julius von Payer	guida Johann Pinggera, portatore Antonio Chiesa		Julius von Payer, guida Johann Pinggera, portatore Antonio Chiesa		Wikipedia
item_120	Event on Pelmo 	Pelmo	FALSE		Golden Age of alpinism, Prime Ascensioni sulle Dolomiti		First absolute ascent		The Irishman Ball was guided by an anonymous local (Venetian) chamois hunter up to the summit ridge, about 30 m below the summit.	19 settembre 1857	1857	John Ball		English	John Ball	Erschliessung, 3, pp. 475-6	Wikipedia, Wikidata Table
item_121	Event on Pic Coolidge 	Pic Coolidge	FALSE		Silver age of alpinism		First absolute ascent			14 luglio1877	1877	William Auguste Coolidge, Christian Almer, Ulrich Almer			William Auguste Coolidge, Christian Almer, Ulrich Almer		Wikipedia
item_122	Event on Pic d'Olan 	Pic d'Olan	FALSE		Silver age of alpinism		First absolute ascent			1880	1880						Wikipedia
item_123	Event on Pic Tyndall 	Pic Tyndall	FALSE		Golden age of alpinism		First absolute ascent			1862	1862	John Tyndall, Jean-Antoine Carrel	due guide		John Tyndall, Jean-Antoine Carrel, due guide		Wikipedia
item_124	Event on Piz Boè 	Piz Boè	FALSE		Golden Age of alpinism, Prime Ascensioni sulle Dolomiti		First absolute ascent			30 luglio1864	1864	Paul Grohmann			Paul Grohmann	Fabio Favaretto e Andrea Zannini, Gruppo di Sella, Guida dei Monti d'Italia, Milano, Club Alpino Italiano e Touring Club Italiano, 1991.	Wikipedia
item_125	Event on Pizzo Cengalo 	Pizzo Cengalo	FALSE		Silver age of alpinism		First absolute ascent			25 luglio 1866	1866	Douglas William Freshfield, Charles Comyns Tucker	François Devouassoud		Douglas William Freshfield, Charles Comyns Tucker, François Devouassoud		Wikipedia
item_126	Event on Pizzo Rotondo (Cantone Ticino) 	Pizzo Rotondo (Cantone Ticino)	FALSE				First absolute ascent			1888	1888	William Auguste Coolidge, Christian Almer			William Auguste Coolidge, Christian Almer		Wikipedia
item_127	Event on Pizzo Tresero 	Pizzo Tresero	FALSE		Silver age of alpinism		First absolute ascent			28 giugno 1865	1865	Francis Fox Tuckett, Douglas William Freshfield, James Backhouse, George Henry Fox, François Devouassoud, Peter Michel			Francis Fox Tuckett, Douglas William Freshfield, James Backhouse, George Henry Fox, François Devouassoud, Peter Michel		Wikipedia
item_128	Event on Pointe Haute de Mary 	Pointe Haute de Mary	FALSE		Silver age of alpinism		First absolute ascent			luglio1879	1879	William Auguste Coolidge, Christin Almer, Ulrich Almer			William Auguste Coolidge, Christin Almer, Ulrich Almer		Wikipedia
item_129	Event on Punta dei Tre Scarperi 	Punta dei Tre Scarperi	FALSE		Silver age of alpinism, Prime Ascensioni sulle Dolomiti		First absolute ascent			18 luglio1869	1869	Paul Grohmann, Peter Salcher, Franz Innerkofler			Paul Grohmann, Peter Salcher, Franz Innerkofler		Wikipedia
item_130	Event on Punta Gastaldi 	Punta Gastaldi	FALSE				First absolute ascent			16 agosto1884	1884	William Auguste Coolidge, Ulrich Almer 			William Auguste Coolidge, Ulrich Almer 		Wikipedia
item_131	Event on Punta Gelas di Lourousa 	Punta Gelas di Lourousa	FALSE		Silver age of alpinism		First absolute ascent			18 agosto1879	1879	William Auguste Coolidge, Christian Almer, Ulrich Almer			William Auguste Coolidge, Christian Almer, Ulrich Almer		Wikipedia
item_132	Event on Punta Grohmann 	Punta Grohmann	FALSE		Silver age of alpinism, Prime Ascensioni sulle Dolomiti		First absolute ascent			1880	1880	Michel Innerkofler			Michel Innerkofler		Wikipedia
item_133	Event on Punta Penia 	Punta Penia	FALSE		Golden age of alpinism		First absolute ascent	Concurrent Hypotesis		28 September 1864	1864	Paul Grohmann, Angelo Dimai, Fulgenzio Dimai		Austria, Italy	Paul Grohmann, Angelo Dimai, Fulgenzio Dimai		Wikipedia (EN), Wikipedia (DE), Wikipedia (IT), Wikipedia Table
item_134	Event on Punta Penia 	Punta Penia	FALSE		Golden age of alpinism		First absolute ascent	Concurrent Hypotesis		28 September 1864	1864	Paul Grohmann, Pellegrino Pellegrini, Angelo Dimai, Fulgenzio Dimai		Austria, Italy	Paul Grohmann, Pellegrino Pellegrini, Angelo Dimai, Fulgenzio Dimai		Wikipedia (FR)
item_135	Event on Punta San Matteo 	Punta San Matteo	FALSE		Silver age of alpinism		First absolute ascent			28 giugno 1865	1865	James Backhouse, George Henry Fox, Douglas William Freshfield, Francis Fox Tuckett	François Devouassoud, Peter Michel		James Backhouse, George Henry Fox, Douglas William Freshfield, Francis Fox Tuckett, François Devouassoud, Peter Michel		Wikipedia
item_136	Event on Punta Sommeiller 	Punta Sommeiller	FALSE		Silver age of alpinism		First absolute ascent			documentata:1871	1871	Martino Baretti			Martino Baretti	Roberto Aruga, Pietro Losana e Alberto Re, Alpi Cozie Settentrionali, Guida dei Monti d'Italia, Milano, Club Alpino Italiano e Touring Club Italiano, 1985.	Wikipedia
item_137	Event on Roche de la Muzelle 	Roche de la Muzelle	FALSE		Silver age of alpinism		First absolute ascent			2 luglio1875	1875	William Auguste Coolidge, Christian Almer, Ulrich Almer			William Auguste Coolidge, Christian Almer, Ulrich Almer		Wikipedia
item_138	Event on Sass de Stria 	Sass de Stria	FALSE		Prime Ascensioni sulle Dolomiti		First absolute ascent			12 agosto 1899	1899	Giovanni Siorpaes			Giovanni Siorpaes		Wikipedia
item_139	Event on Sasso Bianco 	Sasso Bianco	FALSE		Prime Ascensioni sulle Dolomiti		First absolute ascent			19º novembre2005	2005						Wikipedia
item_140	Event on Sasso di Bosconero 	Sasso di Bosconero	FALSE		Prime Ascensioni sulle Dolomiti		First absolute ascent			19 settembre 1878	1878	Santo Siorpaes, Cesare Tomè, Gottfried Merzbacher			Santo Siorpaes, Cesare Tomè, Gottfried Merzbacher		Wikipedia
item_141	Event on Sasso Pordoi 	Sasso Pordoi	FALSE		Prime Ascensioni sulle Dolomiti		First absolute ascent			XIX secolo						Fabio Favaretto e Andrea Zannini, Gruppo di Sella, Guida dei Monti d'Italia, Milano, Club Alpino Italiano e Touring Club Italiano, 1991.	Wikipedia
item_142	Event on Sasso Vernale 	Sasso Vernale	FALSE		Prime Ascensioni sulle Dolomiti		First absolute ascent			12 luglio 1878	1878	Santo Siorpaes, Cesare Tomè, Gottfried Merzbacher, Giorgio Bernard			Santo Siorpaes, Cesare Tomè, Gottfried Merzbacher, Giorgio Bernard		Wikipedia
item_143	Event on Sassolungo 	Sassolungo	FALSE		Silver age of alpinism, Prime Ascensioni sulle Dolomiti		First absolute ascent			13 agosto1869	1869	Paul Grohmann, Franz Innerkofler, Peter Salcher			Paul Grohmann, Franz Innerkofler, Peter Salcher		Wikipedia
item_144	Event on Schiara 	Schiara	FALSE		Prime Ascensioni sulle Dolomiti		First absolute ascent			17 settembre1878	1878	Gottfried Merzbacher	Cesare Tomè, Santo Siorpaes		Gottfried Merzbacher, Cesare Tomè, Santo Siorpaes		Wikipedia
item_145	Event on Strahlhorn 	Strahlhorn	FALSE		Golden age of alpinism		First absolute ascent			15 agosto 1854	1854						Wikipedia
item_146	Event on Testa della Tribolazione 	Testa della Tribolazione	FALSE				First absolute ascent			11 agosto 1885	1885	William Auguste Coolidge, George Yeld	Christian Almer, Séraphin Henry, Joseph-Antoine Jeantet		William Auguste Coolidge, George Yeld, Christian Almer, Séraphin Henry, Joseph-Antoine Jeantet	[1]	Wikipedia
item_147	Event on Titlis 	Titlis	FALSE				First absolute ascent	Conflicting Hypothesis		25 Jul 1744	1744	Ignaz Herz, Josef Eugen Waser and 2 others		Switzerland	Ignaz Herz, Josef Eugen Waser and 2 others		Wikipedia
item_148	Event on Titlis 	Titlis	FALSE				First absolute ascent	Conflicting Hypothesis		1739	1739						Wikipedia
item_149	Event on Torre di Castelfranco 	Torre di Castelfranco	FALSE		Golden age of alpinism		First absolute ascent			1861	1861	Francis Fox Tuckett, John Tyndall			Francis Fox Tuckett, John Tyndall		Wikipedia
item_150	Event on Tour Ronde 	Tour Ronde	FALSE		Silver age of alpinism		First absolute ascent			22 luglio1867	1867	James Backhouse, T.H. Carson, Douglas William Freshfield, Charles Comyns Tucker, Daniel Balleys, Michel-Clément Payot			James Backhouse, T.H. Carson, Douglas William Freshfield, Charles Comyns Tucker, Daniel Balleys, Michel-Clément Payot		Wikipedia
item_151	Event on Cima Grande (Tre Cime di Lavaredo) 	Cima Grande (Tre Cime di Lavaredo)	FALSE		Silver age of alpinism, Prime Ascensioni sulle Dolomiti		First absolute ascent	Undisputed		21 agosto 1869	1869	Paul Grohmann	Franz Innerkofler, Peter Salcher	Austria-Hungary	Paul Grohmann, Franz Innerkofler, Peter Salcher		Wikipedia, Wikipedia Table
item_152	Event on Trettachspitze 	Trettachspitze	FALSE		Golden age of alpinism		First absolute ascent			1855	1855						Wikipedia
item_153	Event on Uia di Bessanese 	Uia di Bessanese	FALSE		Golden age of alpinism		First absolute ascent			31 agosto1857	1857	Antonio Tonini			Antonio Tonini	Giulio Berutto e Lino Fornelli, Alpi Graie Meridionali, Guida dei Monti d'Italia, Milano, Club Alpino Italiano e Touring Club Italiano, 1980, ISBN 978-88-365-0077-2.	Wikipedia
item_154	Event on Vezzana 	Vezzana	FALSE		Prime Ascensioni sulle Dolomiti		First absolute ascent			23 giugno1878	1878	Douglas William Freshfield, Charles Comyns Tucker			Douglas William Freshfield, Charles Comyns Tucker		Wikipedia
item_155	Event on Watzmann 	Watzmann	FALSE				First absolute ascent			agosto1800	1800	Valentin Stanič			Valentin Stanič		Wikipedia, Wikipedia Table
item_156	Event on Weisshorn 	Weisshorn	FALSE		Golden age of alpinism		First absolute ascent			19 agosto 1861	1861	John Tyndall	Johann Joseph Bennen, Ulrich Wenger	Switzerland, England	John Tyndall, Johann Joseph Bennen, Ulrich Wenger	Peter Zimmermann, Valentin Stanič – Bergsteiger, Schriftsteller, Wohltäter. Eigenverlag der Bayerisch-Slowenischen Gesellschaft, Regensburg 2000.  Studer, Vol 2, pp. 145-6	Wikipedia, Wikipedia Table
item_157	Event on Wildspitze 	Wildspitze	FALSE				First absolute ascent			Aug 1848	1848	Leander Klotz, fellow local farmer		Austria	Leander Klotz, fellow local farmer	Erschliessung 2, 251-7	Wikipedia
item_158	Event on Zugspitze 	Zugspitze	FALSE				First absolute ascent			27 agosto1820	1820	Josef Naus, Maier Tauschl, Johann Georg Tauschl		Austria-Hungary, Kingdom of Bavaria	Josef Naus, Maier Tauschl, Johann Georg Tauschl	Erschliessung 1,121-2. Local people had climbed Zugspitze over 50 years earlier, according to a 1770 map discovered by the Alpenverein	Wikipedia, Wikipedia Table
item_159	Event on Aiguille de la Grande Sassière 	Aiguille de la Grande Sassière	FALSE				First absolute ascent	Conflicting Hypothesis	ca. 1808	1808	1808	Bertrand Chaudan, others from Tignes		France	Bertrand Chaudan, others from Tignes	W.A.B. Coolidge, The Alps in nature and history, E.P. Dutton publishers, New York, 1908, p. 398	Wikipedia Table
item_160	Event on Aiguille de la Grande Sassière 	Aiguille de la Grande Sassière	FALSE		Golden age of alpinism		First absolute ascent	Conflicting Hypothesis		5 agosto 1860	1860	William Mathews, Michel Croz			William Mathews, Michel Croz	Alessandro Giorgetta, Alpi Graie Centrali, Guida dei Monti d'Italia, Milano, Club Alpino Italiano e Touring Club Italiano, 1985.	Wikipedia
item_161	Event on Aiguille de Leschaux 	Aiguille de Leschaux	FALSE		Silver age of alpinism		First absolute ascent			14 luglio 1872	1872	James Aubrey-Garth-Marshall, Thomas Stuard Kennedy	Johann Fischer, Julien Grange		James Aubrey-Garth-Marshall, Thomas Stuard Kennedy, Johann Fischer, Julien Grange		Wikipedia
item_162	Event on Albaron di Sea 	Albaron di Sea	FALSE				First absolute ascent			19 luglio 1886	1886	Giuseppe Corrà	Michele Ricchiardi		Giuseppe Corrà, Michele Ricchiardi		Wikipedia
item_163	Event on Castore (monte) 	Castore (monte)	FALSE		Golden age of alpinism		First absolute ascent			23 agosto 1861	1861	Frederick William Jacomb, William Mathews	Michel Croz		Frederick William Jacomb, William Mathews, Michel Croz		Wikipedia
item_164	Event on Cima Leitosa 	Cima Leitosa	FALSE				First absolute ascent			13 luglio 1886	1886	Giuseppe Corrà, Michele Ricchiardi			Giuseppe Corrà, Michele Ricchiardi		Wikipedia
item_165	Event on Cima Tosa 	Cima Tosa	FALSE		Silver age of alpinism		First absolute ascent			20 luglio 1865	1865	Giuseppe Loss	con 6 compagni		Giuseppe Loss, con 6 compagni		Wikipedia
item_166	Event on Dent Blanche 	Dent Blanche	FALSE		Golden age of alpinism		First absolute ascent			18 luglio 1862	1862	Jean-Baptiste Croz, Johann Kronig, William Wigram, Thomas Stuart Kennedy		France, Switzerland, England	Jean-Baptiste Croz, Johann Kronig, William Wigram, Thomas Stuart Kennedy	T. S. Kennedy, Ascent of the Dent Blanche, in The alpine journal, Alpine Club, Londra, 1864; pagg. 33-39  Studer, Vol 2, pp. 190-1	Wikipedia
item_167	Event on Dobratsch 	Dobratsch	FALSE				First absolute ascent			1794	1794	Franz von Hohenwart			Franz von Hohenwart		Wikipedia
item_168	Event on Furchetta 	Furchetta	FALSE		Silver age of alpinism, Prime Ascensioni sulle Dolomiti		First absolute ascent			1880	1880	Johann Santner			Johann Santner		Wikipedia
item_169	Event on Grand Pilier d'Angle 	Grand Pilier d'Angle	FALSE				First absolute ascent			3 agosto1957	1957	Walter Bonatti			Walter Bonatti		Wikipedia
item_170	Event on Grande Tête de By 	Grande Tête de By	FALSE				First absolute ascent			7 luglio 1894	1894	Max Rosenmund			Max Rosenmund		Wikipedia
item_171	Event on Grosse Sandspitze 	Grosse Sandspitze	FALSE		Silver age of alpinism		First absolute ascent			2 luglio1866	1866	Franz Mitterhofer			Franz Mitterhofer		Wikipedia
item_172	Event on Hochstuhl 	Hochstuhl	FALSE				First absolute ascent			1794	1794	Franz von Hohenwart		France, England	Franz von Hohenwart	William Mathews, Ascent of Monte Visto, Peaks, Passes, and Glaciers, Volume 2, pp 148-177, London: Longman, Green, Longman, and Roberts, 1862	Wikipedia, Wikipedia Table
item_173	Event on Monte Gelé 	Monte Gelé	FALSE		Golden age of alpinism		First absolute ascent			11 agosto1861	1861	Frederick William Jacomb, Jean-Baptiste Croze, Michel Croz			Frederick William Jacomb, Jean-Baptiste Croze, Michel Croz	Gino Buscaini, Alpi Pennine, vol. I, Guida dei Monti d'Italia, Milano, Club Alpino Italiano e Touring Club Italiano, 1971.	Wikipedia
item_174	Event on Monviso 	Monviso	FALSE		Golden age of alpinism		First absolute ascent			30 agosto1861	1861	William Mathews, Frederick William Jacomb, Jean-Baptiste Croz, Michel Croz			William Mathews, Frederick William Jacomb, Jean-Baptiste Croz, Michel Croz		Wikipedia
item_175	Event on Punta Santner 	Punta Santner	FALSE		Silver age of alpinism, Prime Ascensioni sulle Dolomiti		First absolute ascent			7 luglio 1880	1880	Johann Santner			Johann Santner		Wikipedia
item_176	Event on Punta Thurwieser 	Punta Thurwieser	FALSE		Silver age of alpinism		First absolute ascent			1869	1869	Theodor Harpprecht, Joseph Schnell			Theodor Harpprecht, Joseph Schnell		Wikipedia
item_177	Event on Rocca la Meja 	Rocca la Meja	FALSE				First absolute ascent			17 settembre1895	1895	Giovanni Bobba			Giovanni Bobba		Wikipedia
item_178	Event on Rocca Pagana 	Rocca Pagana	FALSE				First absolute ascent			estate 1958 sulla Guglia ovest	vest	Italo Salvi, Nella Depretto			Italo Salvi, Nella Depretto		Wikipedia
item_179	Event on Rocciamelone 	Rocciamelone	FALSE				First absolute ascent			1 settembre1358	1358	Bonifacio Rotario D'Asti		Italy	Bonifacio Rotario D'Asti		Wikipedia
item_180	Event on Balmhorn 	Balmhorn	FALSE		Golden age of alpinism		First absolute ascent			21 luglio 1864	1864	Frank Walker, Horace Walker, Lucy Walker	Jakob Anderegg, Melchior Anderegg		Frank Walker, Horace Walker, Lucy Walker, Jakob Anderegg, Melchior Anderegg		Wikipedia
item_181	Event on Barre des Écrins 	Barre des Écrins	FALSE		Golden age of alpinism		First absolute ascent			1864	1864	Adolphus Warburton Moore, Horace Walker, Edward Whymper	Michel Croz, Christian Almer	France, Switzerland, England	Adolphus Warburton Moore, Horace Walker, Edward Whymper, Michel Croz, Christian Almer		Wikipedia, Wikipedia Table
item_182	Event on Cima d'Asta 	Cima d'Asta	FALSE		Prime Ascensioni sulle Dolomiti		First absolute ascent			1906	1906	Pompeo Tomaselli			Pompeo Tomaselli		Wikipedia
item_183	Event on Cima di Valeille 	Cima di Valeille	FALSE				First absolute ascent			14 settembre1893	1893	Giovanni Bobba	Casimire Thérisod		Giovanni Bobba, Casimire Thérisod		Wikipedia
item_184	Event on Obergabelhorn 	Obergabelhorn	FALSE		Silver age of alpinism		First absolute ascent			6 luglio 1865	1865	Adolphus Warburton Moore, Horace Walker, Jakob Anderegg		Switzerland, England	Adolphus Warburton Moore, Horace Walker, Jakob Anderegg	Studer, Vol 2, pp. 322-3	Wikipedia, Wikipedia Table
item_185	Event on Pigne d'Arolla 	Pigne d'Arolla	FALSE		Silver age of alpinism		First absolute ascent			9 luglio 1865	1865	Adolphus Warburton Moore, Horace Walker, Jakob Anderegg			Adolphus Warburton Moore, Horace Walker, Jakob Anderegg		Wikipedia
item_186	Event on Pilatus 	Pilatus	FALSE				First absolute ascent	Conflicting Hypothesis		1387	1387	Six clerics		Switzerland, England	Six clerics		Wikipedia Table
item_187	Event on Pilatus 	Pilatus	FALSE				First absolute ascent	Conflicting Hypothesis		1518	1518	Joachim Vadiano			Joachim Vadiano		Wikipedia
item_188	Event on Piz Roseg 	Piz Roseg	FALSE		Silver age of alpinism		First absolute ascent			28 giugno 1865	1865	Adolphus Warburton Moore, Horace Walker	Jakob Anderegg	Switzerland, England	Adolphus Warburton Moore, Horace Walker, Jakob Anderegg	Silvio Saglio, Bernina, Guida dei Monti d'Italia, Milano, Club Alpino Italiano e Touring Club Italiano, 1959. Studer, Vol 3, pp. 130-3	Wikipedia, Wikipedia Table
item_189	Event on Grummetkopf 	Grummetkopf	FALSE				First absolute ascent			5 ottobre 1913	1913	Hans Reinl, Anton Steinmaier, Felix Steinmaier			Hans Reinl, Anton Steinmaier, Felix Steinmaier		Wikipedia
item_190	Event on Monte Lera (Valle di Viù) 	Monte Lera (Valle di Viù)	FALSE		Silver age of alpinism		First absolute ascent			15 settembre1873	1873	Martino Baretti	Giuseppe Cibrario		Martino Baretti, Giuseppe Cibrario		Wikipedia
item_191	Event on Monveso di Forzo 	Monveso di Forzo	FALSE		Silver age of alpinism		First absolute ascent			7 agosto1867	1867	Martino Baretti	Giulio Rastoldo, detto Egidio		Martino Baretti, Giulio Rastoldo, detto Egidio	[1]	Wikipedia
item_192	Event on Ortles 	Ortles	FALSE				First absolute ascent			27/09/1804	1804	Joseph Pichler			Joseph Pichler		Wikipedia
item_193	Event on Pierre Menue 	Pierre Menue	FALSE		Silver age of alpinism		First absolute ascent			3 agosto 1875	1875	Martino Baretti	Pietro Medail, Augusto Sibille		Martino Baretti, Pietro Medail, Augusto Sibille	[1]	Wikipedia
item_194	Event on Punta Baretti 	Punta Baretti	FALSE		Silver age of alpinism		First absolute ascent			28 luglio1880	1880	Jean-Joseph Maquignaz, Martino Baretti			Jean-Joseph Maquignaz, Martino Baretti		Wikipedia
item_195	Event on Freyaturm 	Freyaturm	FALSE				First absolute ascent			15 giugno 1913	1913	Hans Reinl, Anton Steinmaier, Felix Steinmaier			Hans Reinl, Anton Steinmaier, Felix Steinmaier		Wikipedia
item_196	Event on Punta Fourà 	Punta Fourà	FALSE		Silver age of alpinism		First absolute ascent			1867	1867	Martino Baretti	 A. Blanchetti		Martino Baretti,  A. Blanchetti	[1]	Wikipedia
item_197	Event on Punta Lunella 	Punta Lunella	FALSE		Silver age of alpinism		First absolute ascent			23 giugno1873	1873	Martino Baretti	Giuseppe Cibrario		Martino Baretti, Giuseppe Cibrario	[1]	Wikipedia
item_198	Event on Aiguille du Grépon 	Aiguille du Grépon	FALSE		Silver age of alpinism		First absolute ascent		Dicono anche 3 agosto 1881	5 agosto1881	1881	Albert Frederick Mummery	Alexander Burgener, Benedikt Venetz	Switzerland, English	Albert Frederick Mummery, Alexander Burgener, Benedikt Venetz		Wikipedia, Wikipedia Table
item_199	Event on Allalinhorn 	Allalinhorn	FALSE		Golden age of alpinism		First absolute ascent			28 agosto 1856	1856	Franz-Josef Andenmatten, Edward Levi Ames, Member of Imseng family			Franz-Josef Andenmatten, Edward Levi Ames, Member of Imseng family		Wikipedia
item_200	Event on Becca di Chardoney 	Becca di Chardoney	FALSE				First absolute ascent			22 agosto 1882	1882	Arthur Cust	Xaver Andermatten		Arthur Cust, Xaver Andermatten	[1]	Wikipedia
item_201	Event on Blinnenhorn 	Blinnenhorn	FALSE		Silver age of alpinism		First absolute ascent			1881	1881	Arthur Cust			Arthur Cust		Wikipedia
item_202	Event on Campanile Alto 	Campanile Alto	FALSE				First absolute ascent			27 luglio 1885	1885	Gottfried Merzbacher	Bonifacio Nicolussi		Gottfried Merzbacher, Bonifacio Nicolussi		Wikipedia
item_203	Event on Dürrenhorn 	Dürrenhorn	FALSE		Silver age of alpinism		First absolute ascent			7 settembre 1879	1879	Albert Frederick Mummery, William Penhall	Alexander Burgener, Ferdinand Imseng		Albert Frederick Mummery, William Penhall, Alexander Burgener, Ferdinand Imseng		Wikipedia
item_204	Event on Lagginhorn 	Lagginhorn	FALSE		Golden age of alpinism		First absolute ascent			26 agosto 1856	1856	Edward Levi Ames, Franz Andenmatten, Johann Josef Imseng			Edward Levi Ames, Franz Andenmatten, Johann Josef Imseng		Wikipedia
item_205	Event on Aiguille de la Vanoise 	Aiguille de la Vanoise	FALSE				First absolute ascent			12 settembre1911	1911	Marie-Antoinette Vernay	Marcellin Amiez		Marie-Antoinette Vernay, Marcellin Amiez		Wikipedia
item_206	Event on Dômes de Miage 	Dômes de Miage	FALSE		Golden age of alpinism		First absolute ascent			2 settembre1858	1858	Edmund Thomas Coleman	Frédéric Mollard, Joseph Jacquemont		Edmund Thomas Coleman, Frédéric Mollard, Joseph Jacquemont	Renato Chabod, Lorenzo Grivel, Silvio Saglio, Monte Bianco, vol. I, Guida dei Monti d'Italia, Milano, Club Alpino Italiano e Touring Club Italiano, 1963.	Wikipedia
item_207	Event on Eiger 	Eiger	TRUE	La temuta parete nord dell'Eiger, conquistata da Anderl Heckmair, Ludwig Vörg, Heinrich Harrer e Fritz Kasparek.	Golden age of alpinism		First absolute ascent			11 agosto 1858	1858	Charles Barrington	Christian Almer, Peter Bohren	Switzerland, English	Charles Barrington, Christian Almer, Peter Bohren	Studer, Vol 1, pp. 102-8	Wikipedia, Wikipedia Table
item_208	Event on Gran Paradiso 	Gran Paradiso	FALSE		Golden age of alpinism		First absolute ascent			04/09/1860	1860	John Jeremy Cowell, William Dundas	Michel-Clément Payot, Jean Tairraz	France, England	John Jeremy Cowell, William Dundas, Michel-Clément Payot, Jean Tairraz	J.J. Cowell, Two Ascents of the Grand Paradis, Peaks, Passes, and Glaciers, Volume 2, pp 408-426, London: Longman, Green, Longman, and Roberts, 1862	Wikipedia, Wikipedia Table
item_209	Event on Klein Fiescherhorn 	Klein Fiescherhorn	FALSE		Golden age of alpinism		First absolute ascent			1864	1864	Edmund von Fellenberg	Peter Inäbit, Ulrich Kaufmann, Peter Kaufmann		Edmund von Fellenberg, Peter Inäbit, Ulrich Kaufmann, Peter Kaufmann		Wikipedia
item_210	Event on Picco Gugliermina 	Picco Gugliermina	FALSE				First absolute ascent			24 agosto 1914	1914	Giovanni Battista Gugliermina, Francesco Ravelli			Giovanni Battista Gugliermina, Francesco Ravelli		Wikipedia
item_211	Event on Picco Luigi Amedeo 	Picco Luigi Amedeo	FALSE				First absolute ascent			20 luglio1901	1901	Giovanni Battista Gugliermina, Giuseppe Fortunato Gugliermina	Joseph Brocherel		Giovanni Battista Gugliermina, Giuseppe Fortunato Gugliermina, Joseph Brocherel		Wikipedia
item_212	Event on Picco Muzio 	Picco Muzio	FALSE				First absolute ascent			4 settembre 1953	1953	Luigi Carrel	Italo Muzio, l’Abbé Louis Maquignaz		Luigi Carrel, Italo Muzio, l’Abbé Louis Maquignaz		Wikipedia
item_213	Event on Punta di Valle 	Punta di Valle	FALSE				First absolute ascent			1878	1878	Rudolf Seyerlen, Stephan Kirchler			Rudolf Seyerlen, Stephan Kirchler		Wikipedia
item_214	Event on Punta Nordend 	Punta Nordend	FALSE		Golden age of alpinism		First absolute ascent			26 agosto 1861	1861	Thomas Fowell Buxton, Edward North Buxton, John Jeremy Cowell, Michel-Clément Payot			Thomas Fowell Buxton, Edward North Buxton, John Jeremy Cowell, Michel-Clément Payot		Wikipedia
item_215	Event on Le Pavé 	Le Pavé	FALSE		Silver age of alpinism		First absolute ascent			19 luglio 1879	1879	William Auguste Coolidge	Christian Almer padre e figli		William Auguste Coolidge, Christian Almer padre e figli		Wikipedia
item_216	Event on Mont Ventoux 	Mont Ventoux	FALSE				First absolute ascent			1336	1336	Francesco Petrarca			Francesco Petrarca		Wikipedia
item_217	Event on Montagne des Agneaux 	Montagne des Agneaux	FALSE		Silver age of alpinism		First absolute ascent			17 luglio1873	1873	William Auguste Coolidge	Christian Almere Christian Roth		William Auguste Coolidge, Christian Almere Christian Roth		Wikipedia
item_218	Event on Pizzo Coca 	Pizzo Coca	FALSE		Silver age of alpinism		First absolute ascent			luglio 1877	1877	Antonio Baroni			Antonio Baroni	[1]	Wikipedia
item_219	Event on Pizzo del Diavolo della Malgina 	Pizzo del Diavolo della Malgina	FALSE				First absolute ascent			1 settembre 1876[1]	6[1]	Emilio Torri, Antonio Baroni			Emilio Torri, Antonio Baroni		Wikipedia
item_220	Event on Pizzo Recastello 	Pizzo Recastello	FALSE		Silver age of alpinism		First absolute ascent			4 settembre 1876	1876	Antonio Baroni, Emilio Torri			Antonio Baroni, Emilio Torri	[1]	Wikipedia
item_221	Event on Punta Budden (Alpi Graie) 	Punta Budden (Alpi Graie)	FALSE				First absolute ascent			5 agosto 1885	1885	George Yeld	Séraphin Henry, Joseph-Antoine Jeantet		George Yeld, Séraphin Henry, Joseph-Antoine Jeantet	[1]	Wikipedia
item_222	Event on Punta Tersiva 	Punta Tersiva	FALSE				First absolute ascent			23 agosto 1842	1842	Pierre-Balthazar Chamonin			Pierre-Balthazar Chamonin		Wikipedia
item_223	Event on Piramide Vincent 	Piramide Vincent	FALSE				First absolute ascent			5 agosto1819	1819	Nicolas Vincent, Joseph Vincent			Nicolas Vincent, Joseph Vincent	[1]	Wikipedia
item_224	Event on Weissmies 	Weissmies	FALSE		Golden age of alpinism		First absolute ascent			25 Aug 1855	1855	Jakob Christian Häusser, Peter Josef Zurbriggen		Switzerland	Jakob Christian Häusser, Peter Josef Zurbriggen	Helmut Dumler and Willi P. Burkhardt, The High Mountains of the Alps, London: Diadem, 1994, page 62	Wikipedia, Wikipedia Table
item_225	Event on Monte Disgrazia 	Monte Disgrazia	FALSE		Golden age of alpinism		First absolute ascent			24 agosto 1862	1862	Leslie Stephen, Edward Shirley Kennedy, Melchior Anderegg, Thomas Cox		Switzerland, England	Leslie Stephen, Edward Shirley Kennedy, Melchior Anderegg, Thomas Cox	Studer, Vol 3, pp. 206-8	Wikipedia, Wikipedia Table
