pivot_ID	event_name	in_evidence	in_evidence_description	storytelling_path	storytelling_path_description	Type	Dispute	Note	Date	Year	Alpinist	Guide	Nationality	Expedition_members	Reference	source
130	Punta Penia	FALSE		Golden age of alpinism		First absolute ascent	Concurrent Hypotesis		28 September 1864	1864	Paul Grohmann, Pellegrino Pellegrini, Angelo Dimai, Fulgenzio Dimai		Austria, Italy	Paul Grohmann, Pellegrino Pellegrini, Angelo Dimai, Fulgenzio Dimai		Wikipedia (FR)
131	Punta San Matteo	FALSE		Silver age of alpinism		First absolute ascent			28 giugno 1865	1865	James Backhouse, George Henry Fox, Douglas William Freshfield, Francis Fox Tuckett	François Devouassoud, Peter Michel		James Backhouse, George Henry Fox, Douglas William Freshfield, Francis Fox Tuckett, François Devouassoud, Peter Michel		Wikipedia
132	Punta Sommeiller	FALSE		Silver age of alpinism		First absolute ascent			documentata:1871	1871	Martino Baretti			Martino Baretti	Roberto Aruga, Pietro Losana e Alberto Re, Alpi Cozie Settentrionali, Guida dei Monti d'Italia, Milano, Club Alpino Italiano e Touring Club Italiano, 1985.	Wikipedia
133	Roche de la Muzelle	FALSE		Silver age of alpinism		First absolute ascent			2 luglio1875	1875	William Auguste Coolidge, Christian Almer, Ulrich Almer			William Auguste Coolidge, Christian Almer, Ulrich Almer		Wikipedia
134	Sass de Stria	FALSE		Prime Ascensioni sulle Dolomiti		First absolute ascent			12 agosto 1899	1899	Giovanni Siorpaes			Giovanni Siorpaes		Wikipedia
135	Sasso Bianco	FALSE		Prime Ascensioni sulle Dolomiti		First absolute ascent			19º novembre2005	2005						Wikipedia
136	Sasso di Bosconero	FALSE		Prime Ascensioni sulle Dolomiti		First absolute ascent			19 settembre 1878	1878	Santo Siorpaes, Cesare Tomè, Gottfried Merzbacher			Santo Siorpaes, Cesare Tomè, Gottfried Merzbacher		Wikipedia
137	Sasso Pordoi	FALSE		Prime Ascensioni sulle Dolomiti		First absolute ascent			XIX secolo						Fabio Favaretto e Andrea Zannini, Gruppo di Sella, Guida dei Monti d'Italia, Milano, Club Alpino Italiano e Touring Club Italiano, 1991.	Wikipedia
138	Sasso Vernale	FALSE		Prime Ascensioni sulle Dolomiti		First absolute ascent			12 luglio 1878	1878	Santo Siorpaes, Cesare Tomè, Gottfried Merzbacher, Giorgio Bernard			Santo Siorpaes, Cesare Tomè, Gottfried Merzbacher, Giorgio Bernard		Wikipedia
139	Sassolungo	FALSE		Silver age of alpinism, Prime Ascensioni sulle Dolomiti		First absolute ascent			13 agosto1869	1869	Paul Grohmann, Franz Innerkofler, Peter Salcher			Paul Grohmann, Franz Innerkofler, Peter Salcher		Wikipedia
140	Schiara	FALSE		Prime Ascensioni sulle Dolomiti		First absolute ascent			17 settembre1878	1878	Gottfried Merzbacher	Cesare Tomè, Santo Siorpaes		Gottfried Merzbacher, Cesare Tomè, Santo Siorpaes		Wikipedia
141	Strahlhorn	FALSE		Golden age of alpinism		First absolute ascent			15 agosto 1854	1854						Wikipedia
142	Testa della Tribolazione	FALSE				First absolute ascent			11 agosto 1885	1885	William Auguste Coolidge, George Yeld	Christian Almer, Séraphin Henry, Joseph-Antoine Jeantet		William Auguste Coolidge, George Yeld, Christian Almer, Séraphin Henry, Joseph-Antoine Jeantet	[1]	Wikipedia
143	Titlis	FALSE				First absolute ascent	Conflicting Hypothesis		25 Jul 1744	1744	Ignaz Herz, Josef Eugen Waser and 2 others		Switzerland	Ignaz Herz, Josef Eugen Waser and 2 others		Wikipedia
143	Titlis	FALSE				First absolute ascent	Conflicting Hypothesis		1739	1739						Wikipedia
144	Torre di Castelfranco	FALSE		Golden age of alpinism		First absolute ascent			1861	1861	Francis Fox Tuckett, John Tyndall			Francis Fox Tuckett, John Tyndall		Wikipedia
145	Tour Ronde	FALSE		Silver age of alpinism		First absolute ascent			22 luglio1867	1867	James Backhouse, T.H. Carson, Douglas William Freshfield, Charles Comyns Tucker, Daniel Balleys, Michel-Clément Payot			James Backhouse, T.H. Carson, Douglas William Freshfield, Charles Comyns Tucker, Daniel Balleys, Michel-Clément Payot		Wikipedia
146	Cima Grande (Tre Cime di Lavaredo)	FALSE		Silver age of alpinism, Prime Ascensioni sulle Dolomiti		First absolute ascent	Undisputed		21 agosto 1869	1869	Paul Grohmann	Franz Innerkofler, Peter Salcher	Austria-Hungary	Paul Grohmann, Franz Innerkofler, Peter Salcher		Wikipedia, Wikipedia Table
147	Trettachspitze	FALSE		Golden age of alpinism		First absolute ascent			1855	1855						Wikipedia
148	Uia di Bessanese	FALSE		Golden age of alpinism		First absolute ascent			31 agosto1857	1857	Antonio Tonini			Antonio Tonini	Giulio Berutto e Lino Fornelli, Alpi Graie Meridionali, Guida dei Monti d'Italia, Milano, Club Alpino Italiano e Touring Club Italiano, 1980, ISBN 978-88-365-0077-2.	Wikipedia
149	Vezzana	FALSE		Prime Ascensioni sulle Dolomiti		First absolute ascent			23 giugno1878	1878	Douglas William Freshfield, Charles Comyns Tucker			Douglas William Freshfield, Charles Comyns Tucker		Wikipedia
150	Watzmann	FALSE				First absolute ascent			agosto1800	1800	Valentin Stanič			Valentin Stanič		Wikipedia, Wikipedia Table
151	Weisshorn	FALSE		Golden age of alpinism		First absolute ascent			19 agosto 1861	1861	John Tyndall	Johann Joseph Bennen, Ulrich Wenger	Switzerland, England	John Tyndall, Johann Joseph Bennen, Ulrich Wenger	Peter Zimmermann, Valentin Stanič – Bergsteiger, Schriftsteller, Wohltäter. Eigenverlag der Bayerisch-Slowenischen Gesellschaft, Regensburg 2000.  Studer, Vol 2, pp. 145-6	Wikipedia, Wikipedia Table
152	Wildspitze	FALSE				First absolute ascent			Aug 1848	1848	Leander Klotz, fellow local farmer		Austria	Leander Klotz, fellow local farmer	Erschliessung 2, 251-7	Wikipedia
153	Zugspitze	FALSE				First absolute ascent			27 agosto1820	1820	Josef Naus, Maier Tauschl, Johann Georg Tauschl		Austria-Hungary, Kingdom of Bavaria	Josef Naus, Maier Tauschl, Johann Georg Tauschl	Erschliessung 1,121-2. Local people had climbed Zugspitze over 50 years earlier, according to a 1770 map discovered by the Alpenverein	Wikipedia, Wikipedia Table
154	Aiguille de la Grande Sassière	FALSE				First absolute ascent	Conflicting Hypothesis	ca. 1808	1808	1808	Bertrand Chaudan, others from Tignes		France	Bertrand Chaudan, others from Tignes	W.A.B. Coolidge, The Alps in nature and history, E.P. Dutton publishers, New York, 1908, p. 398	Wikipedia Table
154	Aiguille de la Grande Sassière	FALSE		Golden age of alpinism		First absolute ascent	Conflicting Hypothesis		5 agosto 1860	1860	William Mathews, Michel Croz			William Mathews, Michel Croz	Alessandro Giorgetta, Alpi Graie Centrali, Guida dei Monti d'Italia, Milano, Club Alpino Italiano e Touring Club Italiano, 1985.	Wikipedia
155	Aiguille de Leschaux	FALSE		Silver age of alpinism		First absolute ascent			14 luglio 1872	1872	James Aubrey-Garth-Marshall, Thomas Stuard Kennedy	Johann Fischer, Julien Grange		James Aubrey-Garth-Marshall, Thomas Stuard Kennedy, Johann Fischer, Julien Grange		Wikipedia
156	Albaron di Sea	FALSE				First absolute ascent			19 luglio 1886	1886	Giuseppe Corrà	Michele Ricchiardi		Giuseppe Corrà, Michele Ricchiardi		Wikipedia
157	Castore (monte)	FALSE		Golden age of alpinism		First absolute ascent			23 agosto 1861	1861	Frederick William Jacomb, William Mathews	Michel Croz		Frederick William Jacomb, William Mathews, Michel Croz		Wikipedia
158	Cima Leitosa	FALSE				First absolute ascent			13 luglio 1886	1886	Giuseppe Corrà, Michele Ricchiardi			Giuseppe Corrà, Michele Ricchiardi		Wikipedia
159	Cima Tosa	FALSE		Silver age of alpinism		First absolute ascent			20 luglio 1865	1865	Giuseppe Loss	con 6 compagni		Giuseppe Loss, con 6 compagni		Wikipedia
160	Dent Blanche	FALSE		Golden age of alpinism		First absolute ascent			18 luglio 1862	1862	Jean-Baptiste Croz, Johann Kronig, William Wigram, Thomas Stuart Kennedy		France, Switzerland, England	Jean-Baptiste Croz, Johann Kronig, William Wigram, Thomas Stuart Kennedy	T. S. Kennedy, Ascent of the Dent Blanche, in The alpine journal, Alpine Club, Londra, 1864; pagg. 33-39  Studer, Vol 2, pp. 190-1	Wikipedia
161	Dobratsch	FALSE				First absolute ascent			1794	1794	Franz von Hohenwart			Franz von Hohenwart		Wikipedia
162	Furchetta	FALSE		Silver age of alpinism, Prime Ascensioni sulle Dolomiti		First absolute ascent			1880	1880	Johann Santner			Johann Santner		Wikipedia
163	Grand Pilier d'Angle	FALSE				First absolute ascent			3 agosto1957	1957	Walter Bonatti			Walter Bonatti		Wikipedia
164	Grande Tête de By	FALSE				First absolute ascent			7 luglio 1894	1894	Max Rosenmund			Max Rosenmund		Wikipedia
165	Grosse Sandspitze	FALSE		Silver age of alpinism		First absolute ascent			2 luglio1866	1866	Franz Mitterhofer			Franz Mitterhofer		Wikipedia
166	Hochstuhl	FALSE				First absolute ascent			1794	1794	Franz von Hohenwart		France, England	Franz von Hohenwart	William Mathews, Ascent of Monte Visto, Peaks, Passes, and Glaciers, Volume 2, pp 148-177, London: Longman, Green, Longman, and Roberts, 1862	Wikipedia, Wikipedia Table
167	Monte Gelé	FALSE		Golden age of alpinism		First absolute ascent			11 agosto1861	1861	Frederick William Jacomb, Jean-Baptiste Croze, Michel Croz			Frederick William Jacomb, Jean-Baptiste Croze, Michel Croz	Gino Buscaini, Alpi Pennine, vol. I, Guida dei Monti d'Italia, Milano, Club Alpino Italiano e Touring Club Italiano, 1971.	Wikipedia
168	Monviso	FALSE		Golden age of alpinism		First absolute ascent			30 agosto1861	1861	William Mathews, Frederick William Jacomb, Jean-Baptiste Croz, Michel Croz			William Mathews, Frederick William Jacomb, Jean-Baptiste Croz, Michel Croz		Wikipedia
169	Punta Santner	FALSE		Silver age of alpinism, Prime Ascensioni sulle Dolomiti		First absolute ascent			7 luglio 1880	1880	Johann Santner			Johann Santner		Wikipedia
170	Punta Thurwieser	FALSE		Silver age of alpinism		First absolute ascent			1869	1869	Theodor Harpprecht, Joseph Schnell			Theodor Harpprecht, Joseph Schnell		Wikipedia
171	Rocca la Meja	FALSE				First absolute ascent			17 settembre1895	1895	Giovanni Bobba			Giovanni Bobba		Wikipedia
172	Rocca Pagana	FALSE				First absolute ascent			estate 1958 sulla Guglia ovest	vest	Italo Salvi, Nella Depretto			Italo Salvi, Nella Depretto		Wikipedia
173	Rocciamelone	FALSE				First absolute ascent			1 settembre1358	1358	Bonifacio Rotario D'Asti		Italy	Bonifacio Rotario D'Asti		Wikipedia
174	Balmhorn	FALSE		Golden age of alpinism		First absolute ascent			21 luglio 1864	1864	Frank Walker, Horace Walker, Lucy Walker	Jakob Anderegg, Melchior Anderegg		Frank Walker, Horace Walker, Lucy Walker, Jakob Anderegg, Melchior Anderegg		Wikipedia
175	Barre des Écrins	FALSE		Golden age of alpinism		First absolute ascent			1864	1864	Adolphus Warburton Moore, Horace Walker, Edward Whymper	Michel Croz, Christian Almer	France, Switzerland, England	Adolphus Warburton Moore, Horace Walker, Edward Whymper, Michel Croz, Christian Almer		Wikipedia, Wikipedia Table
176	Cima d'Asta	FALSE		Prime Ascensioni sulle Dolomiti		First absolute ascent			1906	1906	Pompeo Tomaselli			Pompeo Tomaselli		Wikipedia
177	Cima di Valeille	FALSE				First absolute ascent			14 settembre1893	1893	Giovanni Bobba	Casimire Thérisod		Giovanni Bobba, Casimire Thérisod		Wikipedia
178	Obergabelhorn	FALSE		Silver age of alpinism		First absolute ascent			6 luglio 1865	1865	Adolphus Warburton Moore, Horace Walker, Jakob Anderegg		Switzerland, England	Adolphus Warburton Moore, Horace Walker, Jakob Anderegg	Studer, Vol 2, pp. 322-3	Wikipedia, Wikipedia Table
179	Pigne d'Arolla	FALSE		Silver age of alpinism		First absolute ascent			9 luglio 1865	1865	Adolphus Warburton Moore, Horace Walker, Jakob Anderegg			Adolphus Warburton Moore, Horace Walker, Jakob Anderegg		Wikipedia
180	Pilatus	FALSE				First absolute ascent	Conflicting Hypothesis		1387	1387	Six clerics		Switzerland, England	Six clerics		Wikipedia Table
180	Pilatus	FALSE				First absolute ascent	Conflicting Hypothesis		1518	1518	Joachim Vadiano			Joachim Vadiano		Wikipedia
181	Piz Roseg	FALSE		Silver age of alpinism		First absolute ascent			28 giugno 1865	1865	Adolphus Warburton Moore, Horace Walker	Jakob Anderegg	Switzerland, England	Adolphus Warburton Moore, Horace Walker, Jakob Anderegg	Silvio Saglio, Bernina, Guida dei Monti d'Italia, Milano, Club Alpino Italiano e Touring Club Italiano, 1959. Studer, Vol 3, pp. 130-3	Wikipedia, Wikipedia Table
182	Grummetkopf	FALSE				First absolute ascent			5 ottobre 1913	1913	Hans Reinl, Anton Steinmaier, Felix Steinmaier			Hans Reinl, Anton Steinmaier, Felix Steinmaier		Wikipedia
183	Monte Lera (Valle di Viù)	FALSE		Silver age of alpinism		First absolute ascent			15 settembre1873	1873	Martino Baretti	Giuseppe Cibrario		Martino Baretti, Giuseppe Cibrario		Wikipedia
184	Monveso di Forzo	FALSE		Silver age of alpinism		First absolute ascent			7 agosto1867	1867	Martino Baretti	Giulio Rastoldo, detto Egidio		Martino Baretti, Giulio Rastoldo, detto Egidio	[1]	Wikipedia
185	Ortles	FALSE				First absolute ascent			27/09/1804	1804	Joseph Pichler			Joseph Pichler		Wikipedia
186	Pierre Menue	FALSE		Silver age of alpinism		First absolute ascent			3 agosto 1875	1875	Martino Baretti	Pietro Medail, Augusto Sibille		Martino Baretti, Pietro Medail, Augusto Sibille	[1]	Wikipedia
187	Punta Baretti	FALSE		Silver age of alpinism		First absolute ascent			28 luglio1880	1880	Jean-Joseph Maquignaz, Martino Baretti			Jean-Joseph Maquignaz, Martino Baretti		Wikipedia
188	Freyaturm	FALSE				First absolute ascent			15 giugno 1913	1913	Hans Reinl, Anton Steinmaier, Felix Steinmaier			Hans Reinl, Anton Steinmaier, Felix Steinmaier		Wikipedia
189	Punta Fourà	FALSE		Silver age of alpinism		First absolute ascent			1867	1867	Martino Baretti	 A. Blanchetti		Martino Baretti,  A. Blanchetti	[1]	Wikipedia
190	Punta Lunella	FALSE		Silver age of alpinism		First absolute ascent			23 giugno1873	1873	Martino Baretti	Giuseppe Cibrario		Martino Baretti, Giuseppe Cibrario	[1]	Wikipedia
191	Aiguille du Grépon	FALSE		Silver age of alpinism		First absolute ascent		Dicono anche 3 agosto 1881	5 agosto1881	1881	Albert Frederick Mummery	Alexander Burgener, Benedikt Venetz	Switzerland, English	Albert Frederick Mummery, Alexander Burgener, Benedikt Venetz		Wikipedia, Wikipedia Table
192	Allalinhorn	FALSE		Golden age of alpinism		First absolute ascent			28 agosto 1856	1856	Franz-Josef Andenmatten, Edward Levi Ames, Member of Imseng family			Franz-Josef Andenmatten, Edward Levi Ames, Member of Imseng family		Wikipedia
193	Becca di Chardoney	FALSE				First absolute ascent			22 agosto 1882	1882	Arthur Cust	Xaver Andermatten		Arthur Cust, Xaver Andermatten	[1]	Wikipedia
194	Blinnenhorn	FALSE		Silver age of alpinism		First absolute ascent			1881	1881	Arthur Cust			Arthur Cust		Wikipedia
195	Campanile Alto	FALSE				First absolute ascent			27 luglio 1885	1885	Gottfried Merzbacher	Bonifacio Nicolussi		Gottfried Merzbacher, Bonifacio Nicolussi		Wikipedia
196	Dürrenhorn	FALSE		Silver age of alpinism		First absolute ascent			7 settembre 1879	1879	Albert Frederick Mummery, William Penhall	Alexander Burgener, Ferdinand Imseng		Albert Frederick Mummery, William Penhall, Alexander Burgener, Ferdinand Imseng		Wikipedia
197	Lagginhorn	FALSE		Golden age of alpinism		First absolute ascent			26 agosto 1856	1856	Edward Levi Ames, Franz Andenmatten, Johann Josef Imseng			Edward Levi Ames, Franz Andenmatten, Johann Josef Imseng		Wikipedia
198	Aiguille de la Vanoise	FALSE				First absolute ascent			12 settembre1911	1911	Marie-Antoinette Vernay	Marcellin Amiez		Marie-Antoinette Vernay, Marcellin Amiez		Wikipedia
199	Dômes de Miage	FALSE		Golden age of alpinism		First absolute ascent			2 settembre1858	1858	Edmund Thomas Coleman	Frédéric Mollard, Joseph Jacquemont		Edmund Thomas Coleman, Frédéric Mollard, Joseph Jacquemont	Renato Chabod, Lorenzo Grivel, Silvio Saglio, Monte Bianco, vol. I, Guida dei Monti d'Italia, Milano, Club Alpino Italiano e Touring Club Italiano, 1963.	Wikipedia
200	Eiger	TRUE	La temuta parete nord dell'Eiger, conquistata da Anderl Heckmair, Ludwig Vörg, Heinrich Harrer e Fritz Kasparek.	Golden age of alpinism		First absolute ascent			11 agosto 1858	1858	Charles Barrington	Christian Almer, Peter Bohren	Switzerland, English	Charles Barrington, Christian Almer, Peter Bohren	Studer, Vol 1, pp. 102-8	Wikipedia, Wikipedia Table
201	Gran Paradiso
	FALSE		Golden age of alpinism		First absolute ascent			04/09/1860	1860	John Jeremy Cowell, William Dundas	Michel-Clément Payot, Jean Tairraz	France, England	John Jeremy Cowell, William Dundas, Michel-Clément Payot, Jean Tairraz	J.J. Cowell, Two Ascents of the Grand Paradis, Peaks, Passes, and Glaciers, Volume 2, pp 408-426, London: Longman, Green, Longman, and Roberts, 1862	Wikipedia, Wikipedia Table
202	Klein Fiescherhorn	FALSE		Golden age of alpinism		First absolute ascent			1864	1864	Edmund von Fellenberg	Peter Inäbit, Ulrich Kaufmann, Peter Kaufmann		Edmund von Fellenberg, Peter Inäbit, Ulrich Kaufmann, Peter Kaufmann		Wikipedia
203	Picco Gugliermina	FALSE				First absolute ascent			24 agosto 1914	1914	Giovanni Battista Gugliermina, Francesco Ravelli			Giovanni Battista Gugliermina, Francesco Ravelli		Wikipedia
204	Picco Luigi Amedeo	FALSE				First absolute ascent			20 luglio1901	1901	Giovanni Battista Gugliermina, Giuseppe Fortunato Gugliermina	Joseph Brocherel		Giovanni Battista Gugliermina, Giuseppe Fortunato Gugliermina, Joseph Brocherel		Wikipedia
205	Picco Muzio	FALSE				First absolute ascent			4 settembre 1953	1953	Luigi Carrel	Italo Muzio, l’Abbé Louis Maquignaz		Luigi Carrel, Italo Muzio, l’Abbé Louis Maquignaz		Wikipedia
206	Punta di Valle	FALSE				First absolute ascent			1878	1878	Rudolf Seyerlen, Stephan Kirchler			Rudolf Seyerlen, Stephan Kirchler		Wikipedia
207	Punta Nordend	FALSE		Golden age of alpinism		First absolute ascent			26 agosto 1861	1861	Thomas Fowell Buxton, Edward North Buxton, John Jeremy Cowell, Michel-Clément Payot			Thomas Fowell Buxton, Edward North Buxton, John Jeremy Cowell, Michel-Clément Payot		Wikipedia
208	Le Pavé	FALSE		Silver age of alpinism		First absolute ascent			19 luglio 1879	1879	William Auguste Coolidge	Christian Almer padre e figli		William Auguste Coolidge, Christian Almer padre e figli		Wikipedia
209	Mont Ventoux	FALSE				First absolute ascent			1336	1336	Francesco Petrarca			Francesco Petrarca		Wikipedia
210	Montagne des Agneaux	FALSE		Silver age of alpinism		First absolute ascent			17 luglio1873	1873	William Auguste Coolidge	Christian Almere Christian Roth		William Auguste Coolidge, Christian Almere Christian Roth		Wikipedia
211	Pizzo Coca	FALSE		Silver age of alpinism		First absolute ascent			luglio 1877	1877	Antonio Baroni			Antonio Baroni	[1]	Wikipedia
212	Pizzo del Diavolo della Malgina	FALSE				First absolute ascent			1 settembre 1876[1]	6[1]	Emilio Torri, Antonio Baroni			Emilio Torri, Antonio Baroni		Wikipedia
213	Pizzo Recastello	FALSE		Silver age of alpinism		First absolute ascent			4 settembre 1876	1876	Antonio Baroni, Emilio Torri			Antonio Baroni, Emilio Torri	[1]	Wikipedia
214	Punta Budden (Alpi Graie)	FALSE				First absolute ascent			5 agosto 1885	1885	George Yeld	Séraphin Henry, Joseph-Antoine Jeantet		George Yeld, Séraphin Henry, Joseph-Antoine Jeantet	[1]	Wikipedia
215	Punta Tersiva	FALSE				First absolute ascent			23 agosto 1842	1842	Pierre-Balthazar Chamonin			Pierre-Balthazar Chamonin		Wikipedia
216	Piramide Vincent	FALSE				First absolute ascent			5 agosto1819	1819	Nicolas Vincent, Joseph Vincent			Nicolas Vincent, Joseph Vincent	[1]	Wikipedia
217	Weissmies	FALSE		Golden age of alpinism		First absolute ascent			25 Aug 1855	1855	Jakob Christian Häusser, Peter Josef Zurbriggen		Switzerland	Jakob Christian Häusser, Peter Josef Zurbriggen	Helmut Dumler and Willi P. Burkhardt, The High Mountains of the Alps, London: Diadem, 1994, page 62	Wikipedia, Wikipedia Table
218	Monte Disgrazia	FALSE		Golden age of alpinism		First absolute ascent			24 agosto 1862	1862	Leslie Stephen, Edward Shirley Kennedy, Melchior Anderegg, Thomas Cox		Switzerland, England	Leslie Stephen, Edward Shirley Kennedy, Melchior Anderegg, Thomas Cox	Studer, Vol 3, pp. 206-8	Wikipedia, Wikipedia Table
219	Aiguille du Plat de la Selle	FALSE		Silver age of alpinism		First absolute ascent			28 giugno 1876	1876	Henri Cordier	Jakob Anderegg, Andreas Maurer		Henri Cordier, Jakob Anderegg, Andreas Maurer		Wikipedia
220	Becco di Mezzodì	FALSE		Silver age of alpinism, Prime Ascensioni sulle Dolomiti		First absolute ascent			5 luglio 1872	1872	Santo Siorpaes, William Edward Utterson-Kelso			Santo Siorpaes, William Edward Utterson-Kelso		Wikipedia
221	Brec de Chambeyron	FALSE				First absolute ascent			20 giugno1878	1878	Paul Agnel, Joseph Risoul			Paul Agnel, Joseph Risoul		Wikipedia
222	Breithorn (Lauterbrunnen)	FALSE		Silver age of alpinism		First absolute ascent			31 luglio 1865	1865	Edmund von Fellenberg	Johann Bischoff, Peter Egger, Peter Inäbnit, Peter Michel from Lauterbrunnen and Grindelwald 		Edmund von Fellenberg, Johann Bischoff, Peter Egger, Peter Inäbnit, Peter Michel from Lauterbrunnen and Grindelwald 		Wikipedia
223	Campanile Basso	FALSE				First absolute ascent			18 agosto1899	1899	Otto Ampferer, Karl Berger		Austria-Hungary	Otto Ampferer, Karl Berger	Ewald Weiss, Campanile Basso/Guglia di Brenta, 100 Jahre Alpingeschichte am "Welträtsel am Stein", 1999	Wikipedia, Wikipedia Table
224	Fletschhorn	FALSE		Golden age of alpinism		First absolute ascent			08/08/1854	1854	Michael Amherdt	Johannes Zumkemmi, Friedrich Clause		Michael Amherdt, Johannes Zumkemmi, Friedrich Clause		Wikipedia
225	Galenstock	FALSE				First absolute ascent			18/08/1845	1845	Eduard Desor senior, Eduard Desor junior, Daniel Dollfus-Ausset	H. Währen, Melchior Bannholzer, P. Brigger, H. Jaun		Eduard Desor senior, Eduard Desor junior, Daniel Dollfus-Ausset, H. Währen, Melchior Bannholzer, P. Brigger, H. Jaun		Wikipedia
226	Grünhorn	FALSE		Silver age of alpinism		First absolute ascent			7 agosto 1865	1865	Edmund von Fellenberg	Peter Michel, Peter Egger, Peter Inäbnit		Edmund von Fellenberg, Peter Michel, Peter Egger, Peter Inäbnit		Wikipedia
227	Mont Blanc du Tacul	FALSE		Golden age of alpinism		First absolute ascent			8 agosto1855	1855	Charles Hudson			Charles Hudson		Wikipedia
228	Punta Rossa della Grivola	FALSE		Golden age of alpinism		First absolute ascent			1864	1864	Hugh de Fellenberg Montgomery, Sedley Taylor, Johann Tannler			Hugh de Fellenberg Montgomery, Sedley Taylor, Johann Tannler		Wikipedia
229	Rimpfischhorn	FALSE		Golden age of alpinism		First absolute ascent			9 settembre 1859	1859	Leslie Stephen, Robert Liveing	Melchior Anderegg, Johannes Zumtaugwald	Switzerland, England	Leslie Stephen, Robert Liveing, Melchior Anderegg, Johannes Zumtaugwald	Wolfgang Pusch, Helmut Dumler, Willi P. Burkhardt, Viertausender der Alpen, Bergverlag Rother GmbH, 2013, p. 103	Wikipedia, Wikipedia Table
230	Cimon della Pala	FALSE		Silver age of alpinism, Prime Ascensioni sulle Dolomiti		First absolute ascent			3 giugno1870	1870	Edward Robson Whitwell, Santo Siorpaes, Christian Lauener			Edward Robson Whitwell, Santo Siorpaes, Christian Lauener		Wikipedia
231	Becca di Moncorvé	FALSE				First absolute ascent			12 agosto1885	1885	Luigi Vaccarone			Luigi Vaccarone		Wikipedia
232	Levanna Occidentale	FALSE		Golden age of alpinism		First absolute ascent			1857	1857	Antonio Tonini			Antonio Tonini		Wikipedia
233	Wildstrubel	FALSE		Golden age of alpinism		First absolute ascent			11 settembre 1858	1858	Leslie Stephen, Thomas Woodbine Hinchliff	Melchior Anderegg		Leslie Stephen, Thomas Woodbine Hinchliff, Melchior Anderegg		Wikipedia
234	Piz Popena	FALSE		Silver age of alpinism, Prime Ascensioni sulle Dolomiti		First absolute ascent			16 giugno 1870	1870	Santo Siorpaes, Christian Lauener, Edwards Robson Whitwell			Santo Siorpaes, Christian Lauener, Edwards Robson Whitwell		Wikipedia
235	Alphubel	FALSE		Golden age of alpinism		First absolute ascent			9 agosto 1860	1860	Leslie Stephen, Thomas Woodbine Hinchliff	Melchior Anderegg, Peter Perren		Leslie Stephen, Thomas Woodbine Hinchliff, Melchior Anderegg, Peter Perren		Wikipedia
236	Pioda di Sciora	FALSE				First absolute ascent			12 luglio 1891	1891	Anton von Rydzewski	Mansueto Barbaria, Christian Klucker		Anton von Rydzewski, Mansueto Barbaria, Christian Klucker		Wikipedia
237	Cima di Moia	FALSE		Golden age of alpinism		First absolute ascent			1863	1863	Karl von Sonklar			Karl von Sonklar		Wikipedia
238	Pizzo Tambò	FALSE				First absolute ascent	Conflicting Hypothesis		1828	1828	Johann Jakob Sulzberger		Switzerland	Johann Jakob Sulzberger	Paul Caminada, Pioniere der Alpentopographie: die Geschichte der Schweizer Kartenkunst, AS Verlag, 2003. Page 96	Wikipedia Table
238	Pizzo Tambò	FALSE		Golden age of alpinism		First absolute ascent	Conflicting Hypothesis		luglio 1859	1859	Johann Jacob Weilenmann			Johann Jacob Weilenmann		Wikipedia
239	Cima di Ghez	FALSE				First absolute ascent			non definita		Unknown hunters			Unknown hunters		Wikipedia
240	Mangart	FALSE				First absolute ascent	Conflicting Hypothesis		Jul 1786	1786	Franz Xaver von Wulfen		Austria	Franz Xaver von Wulfen	Klemun, Marianne (2000). Mit Madame Sonne konferieren: die Grossglockner-Expeditionen 1799 und 1800. Kärntner Landesarchiv. p. 77. ISBN 9783900531478. Retrieved 2014-07-26.	Wikipedia Table
240	Mangart	FALSE				First absolute ascent	Conflicting Hypothesis		1794	1794	Franz von Hohenwart			Franz von Hohenwart		Wikipedia
241	Monte Stavello	FALSE				First absolute ascent			Non documentata		Unknown			Unknown		Wikipedia
242	Cima Monfret	FALSE				First absolute ascent			21 luglio 1884	1884	William Auguste Coolidge	Christian Almer padre e figlio		William Auguste Coolidge, Christian Almer padre e figlio	Giulio Berutto e Lino Fornelli, Alpi Graie Meridionali, Guida dei Monti d'Italia, Milano, Club Alpino Italiano e Touring Club Italiano, 1980.	Wikipedia
243	Punta Elena	FALSE				First absolute ascent			22 agosto1898	1898	Luigi Amedeo di Savoia-Aosta	Joseph Petigax, Laurent Croux, Félix Ollier		Luigi Amedeo di Savoia-Aosta, Joseph Petigax, Laurent Croux, Félix Ollier		Wikipedia
244	Punta Margherita (Grandes Jorasses)	FALSE				First absolute ascent			22 agosto1898	1898	Luigi Amedeo di Savoia-Aosta	Joseph Petigax, Laurent Croux, Félix Ollier		Luigi Amedeo di Savoia-Aosta, Joseph Petigax, Laurent Croux, Félix Ollier		Wikipedia
245	Monte Cavallo (Dolomiti Orientali di Badia)	FALSE		Prime Ascensioni sulle Dolomiti		First absolute ascent		1° salita spigolo ovest	1953	1953	Georges Livanos	Robert Gabriel		Georges Livanos, Robert Gabriel		Wikipedia
246	Rocca dell'Abisso	FALSE				First absolute ascent			1832	1832	Lorenzo Pareto	portatore		Lorenzo Pareto, portatore		Wikipedia
